C,MN,SI,S,CR,NI,MO,AL,TI,V,B,W,CO,H2,N,O2,Ladle_No.,Ladle_Life,LF Chamber Out Temp,Casting Temp,Liquidus Temp,Super-heat,Cast Time,Casting Speed,Defect
0.15,0.53,0.24,0.008,1.55,1.42,0.258,0.029,0.002,0.007,0.0002,0.004,0.027,1.4,75,0,5,10,1553,1553,1508,45,30,2.38,0
0.15,0.53,0.24,0.008,1.55,1.42,0.258,0.029,0.002,0.007,0.0002,0.004,0.027,1.4,75,0,5,10,1553,1553,1508,45,30,2.38,0
0.198,1.31,0.24,0.001,1.21,0.08,0.033,0.023,0.003,0.008,0.0003,0.001,0.008,1.36,93,0,4,29,1559,1559,1508,51,30,2.47,1
0.198,1.31,0.24,0.001,1.21,0.08,0.033,0.023,0.003,0.008,0.0003,0.001,0.008,1.36,93,0,4,29,1559,1559,1508,51,30,2.13,1
0.162,0.81,0.25,0.026,1.03,1.25,0.228,0.028,0.002,0.006,0.0002,0.005,0.021,1.37,50,0,2,14,1557,1557,1507,50,30,2.17,0
0.162,0.81,0.25,0.026,1.03,1.25,0.228,0.028,0.002,0.006,0.0002,0.005,0.021,1.37,50,0,2,14,1557,1557,1507,50,30,2.5,0
0.116,0.42,0.21,0.001,2.36,0.09,0.95,0.023,0.002,0.007,0.0002,0.004,0.01,0.94,50,0,10,15,1605,1605,1515,90,35,5.72,1
0.116,0.42,0.21,0.001,2.36,0.09,0.95,0.023,0.002,0.007,0.0002,0.004,0.01,0.94,50,0,10,15,1605,1587,1515,72,35,5.72,1
0.395,0.8,0.24,0.002,1,0.21,0.207,0.007,0.002,0.008,0.0001,0.001,0.007,1.38,50,0,6,2,1539,1539,1494,45,25,2.18,1
0.395,0.8,0.24,0.002,1,0.21,0.207,0.007,0.002,0.008,0.0001,0.001,0.007,1.38,50,0,6,2,1539,1539,1494,45,25,2.21,1
0.156,0.83,0.33,0.021,1.03,1.23,0.236,0.029,0.002,0.006,0.0002,0.004,0.024,1.36,49,0,6,24,1580,1563,1507,56,30,2.11,0
0.156,0.83,0.33,0.021,1.03,1.23,0.236,0.029,0.002,0.006,0.0002,0.004,0.024,1.36,49,0,6,24,1580,1563,1507,56,30,2.17,0
0.186,1.33,0.21,0,0.12,0.08,0.034,0.027,0.002,0.005,0.0001,0.001,0.006,0.92,48,0,6,3,1583,1568,1510,58,40,5.63,1
